"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/04/23 7:42:23 PM GMT+5:45","agree","male","18","Arghakhanchi","Bachelor","Student","Less than 3 months","Somewhat agree","Neutral","Neutral","Somewhat disagree","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Unlikely","Somewhat likely","Unlikely","Likely","Neutral","Neutral","Agree","Neutral","Yes","15"
"2022/04/23 7:45:00 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Neutral","Strongly disagree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Disagree;Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Very likely","Very likely","Very likely","Very likely","Neutral","Neutral","Neutral","Neutral","Yes","80"
"2022/04/23 7:45:03 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","2 years more","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly Agree","Strongly Disagree;Strongly Agree","Disagree;Agree;Strongly Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Disagree","Disagree","Neutral;Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral;Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree;Disagree","Strongly Disagree","Agree","Neutral","Somewhat likely","Somewhat likely","Unlikely","Somewhat likely","Neutral","Neutral","Strongly disagree","Strongly disagree","No","60"
"2022/04/23 7:47:30 PM GMT+5:45","agree","Female","20","Lalitpur","Bachelor","Student","Less than 3 months","Neutral","Strongly agree","Somewhat disagree","Somewhat disagree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Agree","Neutral","Neutral","Yes","50"
"2022/04/23 7:48:22 PM GMT+5:45","agree","male","28","Kathmandu","Bachelor","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Neutral","Yes","80"
"2022/04/23 7:48:27 PM GMT+5:45","agree","male","21","Lalitpur","Bachelor","Other","Less than 3 months","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Disagree","Agree","Neutral","Neutral","Yes","90"
"2022/04/23 7:48:48 PM GMT+5:45","agree","Female","24","Kathmandu","Bachelor","Industry","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/04/23 7:52:22 PM GMT+5:45","agree","male","21","Morang","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral;Agree","Neutral;Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/04/23 7:54:06 PM GMT+5:45","agree","Female","32","Kathmandu","Bachelor","Student","13 months to 2 years","Neutral","Neutral","Strongly disagree","Somewhat disagree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Neutral","Yes","8"
"2022/04/23 7:54:51 PM GMT+5:45","agree","male","25","Saptari","Bachelor","Student","2 years more","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree;Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Strongly Agree","Agree","Neutral","Agree","Yes","95"
"2022/04/23 7:56:28 PM GMT+5:45","agree","male","22","Bhaktapur","Plus 2 / Intermediate","Student","3 months to 6 months","Neutral","Strongly disagree","Neutral","Somewhat disagree","Strongly Agree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree;Strongly Agree","Neutral","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Likely","Likely","Somewhat likely","Very likely","Agree","Agree","Neutral","Agree","Yes","78"
"2022/04/23 7:56:52 PM GMT+5:45","agree","male","34","Bhaktapur","Masters and above","Other","2 years more","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Agree","Agree","Disagree","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Somewhat likely","Somewhat likely","Somewhat likely","","","","","Yes","50"
